dealer_no,dealer_name,display_name,search_query,city,state,existing_phone
975,H & H SUPPLY,"H and H Plumbing, Heating and Cooling","H and H Plumbing, Heating and Cooling HVAC MANSFIELD Ohio",MANSFIELD,Ohio,
10330023,High Performance Home Systems,High Performance,High Performance HVAC Houston Texas,Houston,Texas,8326922489
10330030,INTEGRITY A/C,INTEGRITY AC,INTEGRITY AC HVAC Beaumont Texas,Beaumont,Texas,409-791-3481
10216023,Icon Heating & Cooling LLC.,Icon Heating and Cooling,Icon Heating and Cooling HVAC West  Chester Ohio,West  Chester,Ohio,513-981-8369
103801,Jeff’s Heating and Cooling LLC,Jeff's Heating and Cooling,Jeff's Heating and Cooling HVAC Fort Wayne Indiana,Fort Wayne,Indiana,
10431009,KTS Heating and Air,KTS Heating and Air,KTS Heating and Air HVAC Houston Texas,Houston,Texas,2816561466
108459,McCoy Boys HVAC,McCoy Boys HVAC,McCoy Boys HVAC HVAC Thorton Colorado,Thorton,Colorado,
10229021,McDonald Mechanical Services,McDonald Mechanical,McDonald Mechanical HVAC Orange Texas,Orange,Texas,
107642,North Country Plumbing & Heating,North Country Plumbing and Heating,North Country Plumbing and Heating HVAC Crosslake Minnesota,Crosslake,Minnesota,
10047081,"Paramount Plumbing, Heating, & AC","Paramount Plumbing, Heating and Air Conditioning","Paramount Plumbing, Heating and Air Conditioning HVAC Chester Springs Pennsylvania",Chester Springs,Pennsylvania,610-321-1788
10452034,Peace Heating And Air,Peace Heating & Air,Peace Heating & Air HVAC Burleson Texas,Burleson,Texas,8178836508
10391022,Prevent Service,Prevent Services,Prevent Services HVAC Knoxville Tennessee,Knoxville,Tennessee,8652132771
10122026,Ron's Heating & Cooling,,Ron's Heating & Cooling HVAC Agassiz British Columbia,Agassiz,British Columbia,604-798-5981
102238,STEPHANY HEATING & A/C,Stephany Heating and Air Conditioning LLC.,Stephany Heating and Air Conditioning LLC. HVAC LAPORTE Indiana,LAPORTE,Indiana,219-402-8182
10316008,Santos Mechanical LLC,Santos Mechanical LLC,Santos Mechanical LLC HVAC Douglassville Pennsylvania,Douglassville,Pennsylvania,4848904479
108325,Simply Comfortable Heating and Cooling,Simply Comfortable Heating and Cooling,Simply Comfortable Heating and Cooling HVAC Mt. Prospect Illinois,Mt. Prospect,Illinois,847-894-8000
10467010,Smart Air LLC,Smart Air LLC,Smart Air LLC HVAC Lancaster Pennsylvania,Lancaster,Pennsylvania,2232370114
1423,Standard Plumbing Heating & A/C,"Standard Plumbing, Heating, and AC","Standard Plumbing, Heating, and AC HVAC Plymouth Indiana",Plymouth,Indiana,219-763-4247
10269000,Tri-City Heating and Air Conditioning,Tri City Heating and Air,Tri City Heating and Air HVAC Cairo Nebraska,Cairo,Nebraska,
10445046,Trotter Air Services,Trotter Air Services,Trotter Air Services HVAC Plano Texas,Plano,Texas,972-424-9233
10327059,WILLIAMSON'S A/C,Williamson's AC,Williamson's AC HVAC WHITE SETTLEMENT Texas,WHITE SETTLEMENT,Texas,817-367-2074
10141004,"Whetzel’s Heating and Air, LLC","Whetzel’s Heating and Air, LLC","Whetzel’s Heating and Air, LLC HVAC",,,(740) 255-0078
